PID_INTEGRIN_A4B1_PATHWAY	2.33700913934e-06	5.44514922893e-09
PID_ERBB1_INTERNALIZATION_PATHWAY	2.33415972781e-06	2.13344106489e-09
PID_CD8TCRPATHWAY	2.33348094889e-06	1.79673211378e-09
PID_ILK_PATHWAY	2.30062907097e-06	1.79350332157e-09
PID_NETRIN_PATHWAY	2.30039816702e-06	3.97748404842e-09
PID_ATF2_PATHWAY	2.25327122661e-06	2.67124757452e-09
PID_TGFBRPATHWAY	2.24507523877e-06	1.77618446983e-09
PID_INSULIN_PATHWAY	2.23036330156e-06	1.07474855156e-09
PID_AP1_PATHWAY	2.22147452998e-06	3.08686681093e-09
PID_ECADHERIN_NASCENTAJ_PATHWAY	2.21542436405e-06	2.31906303202e-09
PID_SYNDECAN_2_PATHWAY	2.17740650098e-06	3.3445013226e-09
PID_IFNGPATHWAY	2.16765087222e-06	1.55739659081e-09
PID_ERBB2ERBB3PATHWAY	2.15348627549e-06	1.61687305174e-09
PID_IL2_1PATHWAY	2.11640303933e-06	2.50923856006e-09
PID_BARD1PATHWAY	2.11207912374e-06	1.97066047785e-09
PID_ERBB4_PATHWAY	2.11093876837e-06	1.28476147444e-09
PID_ARF6_PATHWAY	2.10589049818e-06	3.96729076524e-09
PID_EPHBFWDPATHWAY	2.07568864603e-06	2.33745836869e-09
PID_CERAMIDE_PATHWAY	2.07448810179e-06	1.72529206213e-09
PID_FOXM1PATHWAY	2.06690637743e-06	7.78956144571e-10
PID_EPHA_FWDPATHWAY	2.03810469588e-06	1.70963905945e-09
PID_NECTIN_PATHWAY	2.00887638212e-06	1.19832356148e-09
PID_CD8TCRDOWNSTREAMPATHWAY	2.00562590664e-06	2.66605389106e-09
PID_ATM_PATHWAY	1.98633808975e-06	3.4058125599e-09
PID_HDAC_CLASSII_PATHWAY	1.95918825175e-06	2.29680009973e-09
PID_INTEGRIN4_PATHWAY	1.95062588644e-06	2.80538013335e-09
PID_ER_NONGENOMIC_PATHWAY	1.94529723316e-06	3.38099645705e-09
PID_IL6_7PATHWAY	1.94351322985e-06	2.19924873874e-09
PID_NCADHERINPATHWAY	1.92924925341e-06	1.99991982539e-09
PID_AURORA_B_PATHWAY	1.91887890024e-06	2.05493661338e-09
PID_ERBB1_RECEPTOR_PROXIMAL_PATHWAY	1.91067222707e-06	1.02268029134e-09
PID_FRA_PATHWAY	1.89893743046e-06	1.77994219376e-09
PID_FOXOPATHWAY	1.89178587416e-06	2.41475408247e-09
PID_IL8CXCR2_PATHWAY	1.84764354735e-06	2.4801988803e-09
PID_RAS_PATHWAY	1.82951757546e-06	4.37115128833e-09
PID_HNF3BPATHWAY	1.82537843185e-06	2.60157848604e-09
PID_CXCR3PATHWAY	1.76544084793e-06	1.57802834192e-09
PID_RETINOIC_ACID_PATHWAY	1.75441643439e-06	1.42867774731e-09
PID_EPOPATHWAY	1.74663269146e-06	1.73708432937e-09
PID_INTEGRIN_A9B1_PATHWAY	1.73169361503e-06	1.95568236902e-09
PID_NFKAPPABCANONICALPATHWAY	1.70762003927e-06	1.85276352956e-09
PID_REELINPATHWAY	1.70656876451e-06	1.95955901021e-09
PID_RET_PATHWAY	1.69178959471e-06	2.53821403712e-09
PID_WNT_NONCANONICAL_PATHWAY	1.68469799891e-06	1.89455084894e-09
PID_EPHRINBREVPATHWAY	1.67472927488e-06	3.0691233933e-09
PID_LIS1PATHWAY	1.64766793054e-06	3.119807335e-09
PID_IL2_PI3KPATHWAY	1.63294227047e-06	2.72749978634e-09
PID_PI3KCIAKTPATHWAY	1.62500529513e-06	2.22618610321e-09
PID_FASPATHWAY	1.61548770255e-06	1.46586853942e-09
PID_LYMPHANGIOGENESIS_PATHWAY	1.59374885392e-06	2.57176579138e-09
PID_HEDGEHOG_2PATHWAY	1.59359939434e-06	9.60582864611e-10
PID_IL8CXCR1_PATHWAY	1.57808823208e-06	1.39904124439e-09
PID_AVB3_OPN_PATHWAY	1.57778994748e-06	2.32267234441e-09
PID_NFAT_TFPATHWAY	1.56151142384e-06	2.69440141324e-09
PID_ALPHASYNUCLEIN_PATHWAY	1.54515083565e-06	2.06485624958e-09
PID_IL23PATHWAY	1.53326360218e-06	5.87935254265e-10
PID_INTEGRIN2_PATHWAY	1.53026149226e-06	2.65813107373e-09
PID_HIF2PATHWAY	1.49830466029e-06	1.47124478189e-09
PID_GMCSF_PATHWAY	1.49718938135e-06	1.33683170027e-09
PID_BMPPATHWAY	1.48674446149e-06	2.26714470527e-09
PID_BETACATENIN_DEG_PATHWAY	1.444566412e-06	1.90313381546e-09
PID_AURORA_A_PATHWAY	1.4434506251e-06	2.38938756408e-09
PID_AR_NONGENOMIC_PATHWAY	1.44198381435e-06	1.94402085138e-09
PID_GLYPICAN_1PATHWAY	1.44002608583e-06	2.02097998011e-09
PID_P38_MKK3_6PATHWAY	1.42283813942e-06	2.50618425231e-09
PID_VEGFR1_PATHWAY	1.4213139044e-06	1.26227226035e-09
PID_NEPHRIN_NEPH1_PATHWAY	1.41076624802e-06	3.32784292784e-09
PID_RXR_VDR_PATHWAY	1.38326787364e-06	1.40923867905e-09
PID_IGF1_PATHWAY	1.35606512582e-06	3.62070433081e-09
PID_PI3KPLCTRKPATHWAY	1.3062201971e-06	1.62323406088e-09
PID_IL1PATHWAY	1.30593592822e-06	2.42481928338e-09
PID_HDAC_CLASSIII_PATHWAY	1.28933068644e-06	2.04016887354e-09
PID_P38ALPHABETADOWNSTREAMPATHWAY	1.23175493167e-06	2.64101150652e-09
PID_CD40_PATHWAY	1.23028807067e-06	1.87321819014e-09
